,,,,,,,,,,,,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2
Water System ID,Water System Name,Source,County,Action Taken,,Testing Date,Sample Number,PFAS Measured,Result,State Action Level (SAL),Calculation_result_range_bins_text,Action & No PFAS detected,Action & PFAS detected below State Action Level (SAL),Action & PFAS detected meeting or exceeding State Action Level (SAL),No Action & No PFAS detected,No Action & PFAS detected below State Action Level (SAL),No Action & PFAS detected meeting or exceeding State Action Level (SAL)
3350,Auburn City of,1,King,None,,6/8/2023,5509,(PFBS) PFbutane sulfonic acid,3.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3350,Auburn City of,2,King,None,,6/8/2023,5510,(PFBS) PFbutane sulfonic acid,3ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3521,MCKENNA WATER DISTRICT,1,Pierce,None,,9/18/2024,38491,(PFOS) PFoctane sulfonic acid,4.1ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
4778,ORTING 15,1,Pierce,None,,3/9/2022,40658,(PFBS) PFbutane sulfonic acid,5ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
4778,ORTING 15,1,Pierce,None,,3/9/2022,40658,(PFHxA) PFhexanoic acid,2.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
4778,ORTING 15,1,Pierce,None,,3/9/2022,40658,(PFHxS) PFhexane sulfonic acid,7.8ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
4778,ORTING 15,1,Pierce,None,,3/9/2022,40658,(PFOS) PFoctane sulfonic acid,5.1ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
4778,ORTING 15,1,Pierce,None,,3/9/2022,40658,(PFPeS) PFpentanesulfonic acid,3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
4778,ORTING 15,1,Pierce,None,,8/21/2023,6421,(PFHxS) PFhexane sulfonic acid,2ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
4778,ORTING 15,1,Pierce,None,,8/21/2023,6421,(PFOS) PFoctane sulfonic acid,2.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
4778,ORTING 15,1,Pierce,None,,9/27/2023,49131,(PFHxS) PFhexane sulfonic acid,2.4ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
4778,ORTING 15,1,Pierce,None,,9/27/2023,49131,(PFOS) PFoctane sulfonic acid,3.1ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
